void_id,survey,redshift,radius_mpc,aspect_ratio,central_density,ra_deg,dec_deg,x_mpc,y_mpc,z_mpc,comoving_distance,completeness,n_galaxies,density_contrast
ZOBOV_0000,ZOBOV,0.3242713567839196,61.18863815056539,2.094279493988955,-0.6651865455893624,44.34913483607979,-9.885307090532649,932.631378862692,911.6795844217654,-227.27627496798067,1323.8638369009443,0.8,2,0.23081596378723515
ZOBOV_0001,ZOBOV,0.5436683417085427,33.52380988009126,2.5699439039988,-0.5310256218982553,49.05472633209125,-17.27846427149283,1308.6077730618288,1508.288239906842,-621.1245165632766,2091.21576682921,0.8,4,0.24901737911185962
ZOBOV_0002,ZOBOV,0.28869346733668344,79.83729683748942,2.1030104041578777,-0.7229245011572134,336.7167073362781,51.59543743018358,678.9265346509984,-292.1572964063405,932.3837546182506,1189.805274476753,0.8,0,0.30027020488640954
ZOBOV_0003,ZOBOV,0.5347738693467337,21.62651557181556,3.0401822404905134,-0.43953252474638005,198.8904140644827,57.99446749212436,-1034.0166154131293,-353.829751036451,1748.5972464636775,2062.0325370879323,0.8,2,0.12763761634436038
ZOBOV_0005,ZOBOV,0.37467336683417085,50.90246426977297,1.8924167891102937,-0.6231928252121599,284.37143954795715,58.97206283509806,193.07394525255967,-753.5325401887605,1293.1719857332657,1509.0999377589385,0.8,1,0.3613893943845651
ZOBOV_0006,ZOBOV,0.4784422110552764,46.43355371413865,2.2729350431232027,-0.6015312146395421,325.8978955997639,46.43616529262695,1069.126670084225,-723.9104431535281,1357.5598822173472,1873.511942902446,0.8,1,0.21779339526264807
ZOBOV_0007,ZOBOV,0.4873366834170854,45.76642385046254,2.091121104591978,-0.5982968244557598,98.26707815503525,22.937551035241775,-252.08564411820805,1734.9626289110813,741.9269300164698,1903.706402041083,0.8,3,0.21603074258457305
ZOBOV_0008,ZOBOV,0.3835678391959799,26.375198197816687,2.226743624604318,-0.4761059942003888,180.07928336974388,-5.898798101795659,-1533.061448710822,-2.121384093022816,-158.3941385808838,1541.2237374666195,0.8,1,0.36435566724885815
ZOBOV_0009,ZOBOV,0.43100502512562816,26.977068024475365,2.549161635858493,-0.4822976344283978,152.48164105557328,-16.6019874829519,-1453.0776074387943,757.0161972868574,-488.504103966944,1709.7205373356348,0.8,2,0.145978481505941
ZOBOV_0010,ZOBOV,0.44879396984924624,33.17161222954742,2.16271308321674,-0.5276306623917236,4.525215595341967,-15.62908990545321,1700.8636923463214,134.61408011943175,-477.30859024756285,1771.6889514902095,0.8,2,0.23408592601850073
