void_id,survey,redshift,radius_mpc,aspect_ratio,central_density,ra_deg,dec_deg,x_mpc,y_mpc,z_mpc,comoving_distance,completeness,sphericity,n_tracers
VIDE_0000,VIDE,0.1306532663316583,16.281233781763476,2.026836694619413,-0.3605648481464423,51.60199462400236,18.350709457061356,330.65323754138495,417.21039612327905,176.58063151442147,560.8714625972468,0.9,0.7116478815083945,2
VIDE_0002,VIDE,0.16512562814070353,36.65109258909454,2.4022526231136627,-0.5476386836958915,357.5026968973229,46.609494015035665,482.2870059873275,-21.034361083054304,510.6585060522136,702.7199373106412,0.9,0.8225143867989901,2
VIDE_0003,VIDE,0.4384422110552764,76.5186907411391,2.3744533984068203,-0.7078632699642662,171.75263704516374,49.02338030376767,-1126.4213781173335,163.2703937106419,1310.4203782794107,1735.7084750476201,0.9,0.8902348479787154,3
VIDE_0006,VIDE,0.3448743718592965,34.61160296597553,1.721269109059947,-0.5359026224305642,311.4185487868442,-3.402342089892354,924.7048711097257,-1048.1875256207552,-83.10050175394527,1400.2435077202726,0.9,0.7086295337643644,6
VIDE_0008,VIDE,0.45075376884422114,32.537750251495,2.042571076544614,-0.5234275944891533,299.20649656530384,45.35312260492924,609.8496220934367,-1090.9069418434972,1265.2989104068567,1778.4757097038514,0.9,0.8675871570033231,0
VIDE_0009,VIDE,0.3916582914572865,27.786063850993802,2.7208171861735817,-0.4876940263541312,90.48810414201765,46.52813763389747,-9.203518505863972,1080.3227528732452,1139.5842577673636,1570.2974990999978,0.9,0.8030840886904046,1
VIDE_0010,VIDE,0.2808542713567839,14.480044464648959,1.9609764640821317,-0.34778912620822744,235.82035184594162,46.8437354316508,-445.7004671024857,-656.3296817748393,846.1342730240428,1159.8968771144964,0.9,0.837144936445527,2
VIDE_0011,VIDE,0.41381909547738693,25.507098531389882,2.4706134470193817,-0.4697755911097678,250.7981350482683,17.35629652643989,-517.7279042159455,-1486.5562273239257,491.98476832976746,1649.2242455372382,0.9,0.7379783370482866,0
VIDE_0012,VIDE,0.367035175879397,35.18425504950469,2.476636094242495,-0.5398462359248687,187.16594205909036,21.400436194388597,-1368.4689167315034,-172.05145801655019,540.531196954673,1481.378700787603,0.9,0.9371078483175137,1
VIDE_0013,VIDE,0.3818090452261307,17.4691765440688,2.186576575763259,-0.3902242548078596,236.40184034315809,15.737641383894584,-817.5123072567367,-1230.5406880014243,416.3112064096787,1534.8849396373441,0.9,0.9182258212638678,0
VIDE_0015,VIDE,0.4926130653266332,37.09339463542998,2.4599734721959794,-0.5524560707386026,20.842185238329325,50.95763882088764,1131.1675442040612,430.6435315926709,1492.4241405543385,1921.5420057007889,0.9,0.8215435004685715,1
VIDE_0017,VIDE,0.3867336683417086,43.40739882260158,1.8007350456128357,-0.5873258623723192,175.468145149849,55.20976676121846,-883.1125831779012,69.99651631401451,1275.081242330946,1552.6169912143407,0.9,0.7154554513385643,1
VIDE_0018,VIDE,0.2636180904522613,23.045516001297813,2.189146788360047,-0.4423455391097419,296.1873447438866,-21.65013641962329,448.59432507190223,-912.1725863814747,-403.4946739834835,1093.6652356940044,0.9,0.8296874576434649,2
VIDE_0019,VIDE,0.43105527638190955,18.852258722046415,2.499340016092698,-0.40778646822769626,238.9834260214587,31.492895472003177,-751.3061763236653,-1249.5645494348912,893.2376911867084,1709.8965193084262,0.9,0.7344742441407903,2
VIDE_0020,VIDE,0.189748743718593,63.56546697189999,2.198720772999656,-0.678357523449038,246.39975038566163,27.404167646928833,-285.2115553109623,-652.8157043902884,369.3389089390048,802.4495029830481,0.9,0.8396981449394542,0
VIDE_0021,VIDE,0.48522613065326636,18.251891195393522,2.596796416927364,-0.40389904733464604,191.17521563146448,49.45228216195875,-1209.5381974265179,-238.95133739069047,1441.1263768887784,1896.5562545938803,0.9,0.9399029504908264,1
VIDE_0022,VIDE,0.41874371859296483,21.503314578450645,2.2361175535707867,-0.433978812912391,205.7202264035815,53.32673562380245,-896.7724829849866,-431.97741757497346,1336.7222087969335,1666.622824464118,0.9,0.7683214765549682,2
VIDE_0023,VIDE,0.47783919597989954,43.06998204385361,1.9999105963714459,-0.5851065430404421,293.8663470667264,21.949268703786565,702.3152170129554,-1587.3808557688842,699.5242225113262,1871.4589985328519,0.9,0.9189941208297738,3
VIDE_0024,VIDE,0.367035175879397,51.17861756000784,2.2067147835379877,-0.6245348855035294,234.22489124462203,48.28593691355151,-576.2626720640284,-799.7399779979924,1105.8119892298887,1481.378700787603,0.9,0.8568629419638906,2
